,Confirmed,Deaths,Recovered,Active,Not Active
US,396223,12722,21763,0,34485
Canada,17872,375,3791,0,4166
United Kingdom,55949,6171,325,49453,6496
China,82718,3335,77410,1973,80745
Netherlands,19709,2108,272,17329,2380
Australia,5895,45,1080,4770,1125
Denmark,5266,203,1621,3442,1824
France,110065,10343,19523,80199,29866
Afghanistan,423,14,18,391,32
Albania,383,22,131,230,153
Algeria,1468,193,113,1162,306
Andorra,545,22,39,484,61
Angola,17,2,2,13,4
Antigua and Barbuda,19,1,0,18,1
Argentina,1628,56,338,1234,394
Armenia,853,8,87,758,95
Austria,12639,243,4046,8350,4289
Azerbaijan,717,8,44,665,52
Bahamas,33,6,5,22,11
Bahrain,811,5,458,348,463
Bangladesh,164,17,33,114,50
Barbados,63,3,6,54,9
Belarus,861,13,54,794,67
Belgium,22194,2035,4157,16002,6192
Belize,7,1,0,6,1
Benin,26,1,5,20,6
Bhutan,5,0,2,3,2
Bolivia,194,14,2,178,16
Bosnia and Herzegovina,764,33,68,663,101
Botswana,6,1,0,5,1
Brazil,14034,686,127,13221,813
Brunei,135,1,85,49,86
Bulgaria,577,23,42,512,65
Burkina Faso,384,19,127,238,146
Burma,22,1,0,21,1
Burundi,3,0,0,3,0
Cabo Verde,7,1,1,5,2
Cambodia,115,0,58,57,58
Cameroon,658,9,43,606,52
Central African Republic,8,0,0,8,0
Chad,10,0,2,8,2
Chile,5116,43,898,4175,941
Colombia,1780,50,100,1630,150
Congo (Brazzaville),45,5,2,38,7
Congo (Kinshasa),180,18,9,153,27
Costa Rica,483,2,24,457,26
Cote d'Ivoire,349,3,41,305,44
Croatia,1282,18,167,1097,185
Cuba,396,11,27,358,38
Cyprus,494,9,47,438,56
Czechia,5017,88,172,4757,260
Diamond Princess,712,11,619,82,630
Djibouti,90,0,9,81,9
Dominica,15,0,1,14,1
Dominican Republic,1956,98,36,1822,134
Ecuador,3747,191,100,3456,291
Egypt,1450,94,276,1080,370
El Salvador,78,4,5,69,9
Equatorial Guinea,16,0,3,13,3
Eritrea,31,0,0,31,0
Estonia,1149,21,69,1059,90
Eswatini,10,0,4,6,4
Ethiopia,52,2,4,46,6
Fiji,15,0,0,15,0
Finland,2308,34,300,1974,334
Gabon,30,1,1,28,2
Gambia,4,1,2,1,3
Georgia,196,3,46,147,49
Germany,107663,2016,36081,69566,38097
Ghana,287,5,31,251,36
Greece,1832,81,269,1482,350
Grenada,12,0,0,12,0
Guatemala,77,3,17,57,20
Guinea,144,0,5,139,5
Guinea-Bissau,33,0,0,33,0
Guyana,33,5,8,20,13
Haiti,25,1,0,24,1
Holy See,7,0,0,7,0
Honduras,305,22,6,277,28
Hungary,817,47,71,699,118
Iceland,1586,6,559,1021,565
India,5311,150,421,4740,571
Indonesia,2738,221,204,2313,425
Iran,62589,3872,27039,31678,30911
Iraq,1122,65,373,684,438
Ireland,5709,210,25,5474,235
Israel,9248,65,770,8413,835
Italy,135586,17127,24392,94067,41519
Jamaica,63,3,8,52,11
Japan,3906,92,592,3222,684
Jordan,353,6,138,209,144
Kazakhstan,697,6,51,640,57
Kenya,172,6,7,159,13
"Korea, South",10331,192,6694,3445,6886
Kosovo,170,4,24,142,28
Kuwait,743,1,105,637,106
Kyrgyzstan,228,4,33,191,37
Laos,14,0,0,14,0
Latvia,548,2,16,530,18
Lebanon,548,19,62,467,81
Liberia,14,3,3,8,6
Libya,20,1,1,18,2
Liechtenstein,78,1,55,22,56
Lithuania,880,15,8,857,23
Luxembourg,2970,44,500,2426,544
MS Zaandam,9,2,0,7,2
Madagascar,88,0,7,81,7
Malawi,8,1,0,7,1
Malaysia,3963,63,1321,2579,1384
Maldives,19,0,13,6,13
Mali,56,5,12,39,17
Malta,293,0,5,288,5
Mauritania,6,1,2,3,3
Mauritius,268,7,8,253,15
Mexico,2439,125,633,1681,758
Moldova,1056,22,40,994,62
Monaco,79,1,4,74,5
Mongolia,15,0,4,11,4
Montenegro,241,2,4,235,6
Morocco,1184,90,93,1001,183
Mozambique,10,0,1,9,1
Namibia,16,0,3,13,3
