,Confirmed,Deaths,Recovered,Active,Not Active
Southern Asia,423,14,18,391,32
Southern Europe,383,22,131,230,153
Northern Africa,1468,193,113,1162,306
Sub-Saharan Africa,17,2,2,13,4
Latin America and the Caribbean,19,1,0,18,1
Western Asia,853,8,87,758,95
Australia and New Zealand,5895,45,1080,4770,1125
Western Europe,12639,243,4046,8350,4289
Eastern Europe,861,13,54,794,67
South-eastern Asia,115,0,58,57,58
Northern America,17872,375,3791,0,4166
Eastern Asia,82718,3335,77410,1973,80745
Northern Europe,5266,203,1621,3442,1824
Melanesia,15,0,0,15,0
Central Asia,697,6,51,640,57
